V_bus_V,I_bus_A,I_bone_A,V_bone_P_V,V_3v3_V,V_bone_N_V,I_bus_model_A,err_pct
3.640,1.582592333e-04,-9.978163279e-05,3.639092,3.300000,2.641275,1.582592359e-04,0.00000
3.660,1.582892448e-04,-9.978163153e-05,3.659091,3.300000,2.661275,1.582892422e-04,-0.00000
3.680,1.583192508e-04,-9.978163125e-05,3.679091,3.300000,2.681275,1.583192484e-04,-0.00000
3.700,1.583492660e-04,-9.978163295e-05,3.699091,3.300000,2.701275,1.583492546e-04,-0.00001
3.720,1.583792528e-04,-9.978163270e-05,3.719091,3.300000,2.721275,1.583792609e-04,0.00001
3.740,1.584092378e-04,-9.978163246e-05,3.739091,3.300000,2.741274,1.584092671e-04,0.00002
3.760,1.584392604e-04,-9.978163517e-05,3.759091,3.300000,2.761274,1.584392734e-04,0.00001
3.780,1.584692806e-04,-9.978163198e-05,3.779090,3.300000,2.781274,1.584692796e-04,-0.00000
3.800,1.584992940e-04,-9.978163274e-05,3.799090,3.300000,2.801274,1.584992858e-04,-0.00001
3.820,1.585292975e-04,-9.978163252e-05,3.819090,3.300000,2.821274,1.585292921e-04,-0.00000
3.840,1.585593103e-04,-9.978163329e-05,3.839090,3.300000,2.841274,1.585592983e-04,-0.00001
3.860,1.585892878e-04,-9.978163307e-05,3.859090,3.300000,2.861273,1.585893046e-04,0.00001
3.880,1.586193167e-04,-9.978163188e-05,3.879090,3.300000,2.881273,1.586193108e-04,-0.00000
3.900,1.586493171e-04,-9.978163266e-05,3.899089,3.300000,2.901273,1.586493171e-04,-0.00000
3.920,1.586793373e-04,-9.978163344e-05,3.919089,3.300000,2.921273,1.586793233e-04,-0.00001
3.940,1.587093359e-04,-9.978163227e-05,3.939089,3.300000,2.941273,1.587093295e-04,-0.00000
3.960,1.587393517e-04,-9.978163309e-05,3.959089,3.300000,2.961272,1.587393358e-04,-0.00001
3.980,1.587693645e-04,-9.978163293e-05,3.979089,3.300000,2.981272,1.587693420e-04,-0.00001
4.000,1.587993371e-04,-9.978163178e-05,3.999088,3.300000,3.001272,1.587993483e-04,0.00001
4.020,1.588293344e-04,-9.978163456e-05,4.019088,3.300000,3.021272,1.588293545e-04,0.00001
4.040,1.588593558e-04,-9.978163342e-05,4.039088,3.300000,3.041272,1.588593607e-04,0.00000
4.060,1.588893785e-04,-9.978163424e-05,4.059088,3.300000,3.061272,1.588893670e-04,-0.00001
4.080,1.589193709e-04,-9.978163309e-05,4.079088,3.300000,3.081271,1.589193732e-04,0.00000
4.100,1.589493607e-04,-9.978162998e-05,4.099088,3.300000,3.101271,1.589493795e-04,0.00001
4.120,1.589793729e-04,-9.978163375e-05,4.119087,3.300000,3.121271,1.589793857e-04,0.00001
4.140,1.590094073e-04,-9.978163457e-05,4.139087,3.300000,3.141271,1.590093919e-04,-0.00001
4.160,1.590394009e-04,-9.978163539e-05,4.159087,3.300000,3.161271,1.590393982e-04,-0.00000
4.180,1.590693871e-04,-9.978163326e-05,4.179087,3.300000,3.181271,1.590694044e-04,0.00001
4.200,1.590993875e-04,-9.978163506e-05,4.199087,3.300000,3.201270,1.590994107e-04,0.00001
4.220,1.591294269e-04,-9.978163195e-05,4.219087,3.300000,3.221270,1.591294169e-04,-0.00001
4.240,1.591594285e-04,-9.978163375e-05,4.239086,3.300000,3.241270,1.591594232e-04,-0.00000
4.260,1.591894314e-04,-9.978163359e-05,4.259086,3.300000,3.261270,1.591894294e-04,-0.00000
4.280,1.592194312e-04,-9.978163343e-05,4.279086,3.300000,3.281270,1.592194356e-04,0.00000
4.300,1.592494242e-04,-9.978163424e-05,4.299086,3.300000,3.301269,1.592494419e-04,0.00001
4.320,1.592794431e-04,-9.978163408e-05,4.319086,3.300000,3.321269,1.592794481e-04,0.00000
4.340,1.593094516e-04,-9.978163097e-05,4.339085,3.300000,3.341269,1.593094544e-04,0.00000
4.360,1.593394551e-04,-9.978163277e-05,4.359085,3.300000,3.361269,1.593394606e-04,0.00000
4.380,1.593694512e-04,-9.978163163e-05,4.379085,3.300000,3.381269,1.593694668e-04,0.00001
4.400,1.593994683e-04,-9.978163343e-05,4.399085,3.300000,3.401269,1.593994731e-04,0.00000
4.420,1.594294761e-04,-9.978163523e-05,4.419085,3.300000,3.421268,1.594294793e-04,0.00000
4.440,1.594594889e-04,-9.978163310e-05,4.439085,3.300000,3.441268,1.594594856e-04,-0.00000
4.460,1.594894899e-04,-9.978163294e-05,4.459084,3.300000,3.461268,1.594894918e-04,0.00000
4.480,1.595194872e-04,-9.978163277e-05,4.479084,3.300000,3.481268,1.595194981e-04,0.00001
4.500,1.595495037e-04,-9.978163261e-05,4.499084,3.300000,3.501268,1.595495043e-04,0.00000
4.520,1.595795233e-04,-9.978163441e-05,4.519084,3.300000,3.521268,1.595795105e-04,-0.00001
4.540,1.596094798e-04,-9.978163523e-05,4.539084,3.300000,3.541267,1.596095168e-04,0.00002
4.560,1.596395198e-04,-9.978163212e-05,4.559084,3.300000,3.561267,1.596395230e-04,0.00000
4.580,1.596695109e-04,-9.978163294e-05,4.579083,3.300000,3.581267,1.596695293e-04,0.00001
4.600,1.596995397e-04,-9.978163376e-05,4.599083,3.300000,3.601267,1.596995355e-04,-0.00000
4.620,1.597295494e-04,-9.978163359e-05,4.619083,3.300000,3.621267,1.597295417e-04,-0.00000
